SOPInstanceUID
1.3.6.1.4.1.14519.5.2.1.4429.7055.169383040232904917519603822011
1.3.6.1.4.1.14519.5.2.1.4429.7055.501186175824888111003819039625
1.3.6.1.4.1.14519.5.2.1.4429.7055.239497195866363148428596922682
1.3.6.1.4.1.14519.5.2.1.4429.7055.239394826378653060985996444203
1.3.6.1.4.1.14519.5.2.1.4429.7055.246819470690873802810895175636
1.3.6.1.4.1.14519.5.2.1.4429.7055.253824247318615116958846476670
1.3.6.1.4.1.14519.5.2.1.4429.7055.211083096226066629776298365613
1.3.6.1.4.1.14519.5.2.1.4429.7055.131016128128678632685481343361
1.3.6.1.4.1.14519.5.2.1.4429.7055.237060653254177594402244804041
1.3.6.1.4.1.14519.5.2.1.4429.7055.965641052160478615878939597574
1.3.6.1.4.1.14519.5.2.1.4429.7055.387318948634072264917019873315
1.3.6.1.4.1.14519.5.2.1.4429.7055.145888972116280259906702063980
1.3.6.1.4.1.14519.5.2.1.4429.7055.166944784406007267708040533373
1.3.6.1.4.1.14519.5.2.1.4429.7055.312656092175740276577789463125
